deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:24:05.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",23,1075,37000,40,8,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:08.000Z,14,7,90,13.73099995,20,14,85,0,0,"\\""""",9,803,29600,40,6,92,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:11.000Z,14,7,90,13.73099995,44,14,85,0,0,"\\""""",24,754,29000,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:14.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",74,1076,48600,40,10,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:17.000Z,14,7,90,13.73099995,27,14,84,0,0,"\\""""",21,754,31800,38,6,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:20.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",24,775,46800,38,8,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:23.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",46,1995,40600,38,18,109,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:26.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",63,1515,81600,38,16,101,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:29.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",56,1915,72800,41,22,115,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:24:32.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",65,1414,71600,41,15,101,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:27:50.000Z,14,7,90,13.73099995,1,14,56,0,0,"\\""""",55,934,37800,41,8,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:27:53.000Z,14,7,90,13.73099995,27,14,56,0,0,"\\""""",35,1043,37800,34,9,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:27:56.000Z,26,13,90,13.73099995,1,14,56,0,0,"\\""""",61,1298,67200,34,13,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:27:59.000Z,26,13,90,13.73099995,32,14,56,0,0,"\\""""",27,774,28000,34,6,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:02.000Z,26,13,90,13.73099995,19,14,57,0,0,"\\""""",30,761,29400,34,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
